,,,,, DL SUBSIDIZED ,,,,, DL UNSUBSIDIZED- UNDERGRADUATE ,,,,, DL UNSUBSIDIZED- GRADUATE ,,,,, DL PARENT PLUS ,,,,,DL GRAD PLUS,,,,,,
00101500,ENTERPRISE STATE COMMUNITY COLLEGE,AL,36331,Public, 210 , 210 ," $663,921.00 ", 218 ," $374,298.00 ", 213 , 214 ," $698,929.00 ", 218 ," $395,177.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   ,,36331
00101600,UNIVERSITY OF NORTH ALABAMA,AL,35632,Public," 2,472 "," 2,472 "," $9,414,254.00 "," 2,472 "," $4,989,098.00 "," 2,399 "," 2,556 "," $9,231,765.00 "," 2,556 "," $4,894,894.00 ", 310 , 310 ," $4,583,695.00 ", 310 ," $2,403,410.00 ", 320 , 320 ," $3,200,938.00 ", 320 ," $1,643,790.00 ", 4 , 4 ," $40,620.00 ", 4 ," $19,346.00 ",,35632
00101900,HUNTINGDON COLLEGE,AL,36106,Private-Nonprofit, 613 , 613 ," $2,504,422.00 ", 613 ," $1,260,949.00 ", 699 , 799 ," $2,926,077.00 ", 800 ," $1,440,924.00 ", -   , -   , $-   , -   , $-   , 170 , 172 ," $1,812,323.00 ", 173 ," $1,001,772.00 ", -   , -   , $-   , -   , $-   ,,36106
00102000,JACKSONVILLE STATE UNIVERSITY,AL,36265,Public," 3,006 "," 3,010 "," $12,079,894.00 "," 3,012 "," $6,550,387.00 "," 2,949 "," 3,136 "," $11,973,818.00 "," 3,140 "," $6,566,587.00 ", 478 , 480 ," $7,478,979.00 ", 481 ," $4,302,621.00 ", 322 , 324 ," $2,854,114.00 ", 325 ," $1,504,855.00 ", 6 , 6 ," $112,269.00 ", 6 ," $61,135.00 ",,36265
00102200,JEFFERSON STATE COMMUNITY COLLEGE,AL,35215,Public," 1,056 "," 1,056 "," $3,269,834.00 "," 1,056 "," $2,004,347.00 ", 526 , 526 ," $1,496,832.00 ", 526 ," $900,720.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   ,,35215
00102300,JUDSON COLLEGE,AL,36756,Private-Nonprofit, 108 , 108 ," $446,392.00 ", 113 ," $225,206.00 ", 121 , 122 ," $445,229.00 ", 128 ," $225,025.00 ", -   , -   , $-   , -   , $-   , 38 , 38 ," $352,808.00 ", 41 ," $177,218.00 ", -   , -   , $-   , -   , $-   ,,36756
00102400,UNIVERSITY OF WEST ALABAMA,AL,35470,Public," 1,044 "," 1,044 "," $4,079,186.00 "," 1,044 "," $2,153,404.00 "," 1,059 "," 1,195 "," $4,213,134.00 "," 1,195 "," $2,260,060.00 "," 1,238 "," 1,238 "," $18,417,035.00 "," 1,238 "," $8,020,299.00 ", 309 , 309 ," $3,338,733.00 ", 309 ," $1,762,575.00 ", -   , -   , $-   , -   , $-   ,,35470
00102600,MARION MILITARY INSTITUTE,AL,36756,Public, 147 , 147 ," $444,893.00 ", 168 ," $269,946.00 ", 197 , 197 ," $722,588.00 ", 202 ," $425,931.00 ", -   , -   , $-   , -   , $-   , 31 , 31 ," $150,192.00 ", 44 ," $107,412.00 ", -   , -   , $-   , -   , $-   ,,36756
00102800,MILES COLLEGE,AL,35064,Private-Nonprofit," 1,353 "," 1,353 "," $5,187,991.00 "," 1,353 "," $2,800,452.00 "," 1,338 "," 1,339 "," $3,538,562.00 "," 1,339 "," $1,935,360.00 ", -   , -   , $-   , -   , $-   , 299 , 299 ," $2,280,723.00 ", 299 ," $1,256,631.00 ", -   , -   , $-   , -   , $-   ,,35064
00102900,UNIVERSITY OF MOBILE,AL,36663,Private-Nonprofit, 755 , 757 ," $2,957,718.00 ", 757 ," $1,552,901.00 ", 838 , 881 ," $3,287,807.00 ", 881 ," $1,722,812.00 ", 85 , 85 ," $1,357,252.00 ", 85 ," $748,461.00 ", 129 , 132 ," $1,449,029.00 ", 132 ," $770,358.00 ", -   , -   , $-   , -   , $-   ,,36663
00103100,NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,35986,Public, 181 , 181 ," $399,800.00 ", 181 ," $211,023.00 ", 119 , 120 ," $270,300.00 ", 120 ," $144,800.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   ,,35986
00103300,OAKWOOD UNIVERSITY,AL,35896,Private-Nonprofit, 984 , 984 ," $4,219,749.00 ", 984 ," $2,207,599.00 "," 1,005 "," 1,154 "," $3,780,413.00 "," 1,154 "," $1,983,286.00 ", 11 , 11 ," $210,040.00 ", 11 ," $107,540.00 ", 202 , 203 ," $2,973,569.00 ", 203 ," $1,545,489.00 ", -   , -   , $-   , -   , $-   ,,35896
00103600,SAMFORD UNIVERSITY,AL,35229,Private-Nonprofit, 721 , 721 ," $2,952,138.00 ", 721 ," $1,561,916.00 ", 890 , 890 ," $3,531,260.00 ", 890 ," $1,863,942.00 "," 1,172 "," 1,172 "," $25,992,437.00 "," 1,172 "," $13,450,302.00 ", 310 , 311 ," $5,826,528.00 ", 311 ," $3,044,937.00 ", 780 , 782 ," $13,648,419.00 ", 782 ," $7,010,599.00 ",,35229
00103800,SNEAD STATE COMMUNITY COLLEGE,AL,35957,Public, 508 , 509 ," $1,561,071.00 ", 509 ," $895,966.00 ", 129 , 135 ," $361,467.00 ", 135 ," $206,388.00 ", -   , -   , $-   , -   , $-   , 4 , 5 ," $27,300.00 ", 5 ," $15,050.00 ", -   , -   , $-   , -   , $-   ,,35957
00104000,SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,36276,Public, 719 , 720 ," $2,113,098.00 ", 720 ," $1,135,238.00 ", 551 , 554 ," $1,726,934.00 ", 554 ," $918,813.00 ", -   , -   , $-   , -   , $-   , 16 , 16 ," $60,666.00 ", 16 ," $32,333.00 ", -   , -   , $-   , -   , $-   ,,36276
00104100,SPRING HILL COLLEGE,AL,36608,Private-Nonprofit, 570 , 572 ," $2,335,075.00 ", 572 ," $1,222,892.00 ", 637 , 719 ," $2,315,970.00 ", 719 ," $1,216,045.00 ", 30 , 30 ," $452,109.00 ", 30 ," $209,389.00 ", 199 , 202 ," $2,375,059.00 ", 202 ," $1,239,489.00 ", -   , -   , $-   , -   , $-   ,,36608
00104400,STILLMAN COLLEGE,AL,35401,Private-Nonprofit, 691 , 691 ," $2,512,483.00 ", 691 ," $1,355,111.00 ", 671 , 671 ," $2,439,111.00 ", 671 ," $1,347,451.00 ", -   , -   , $-   , -   , $-   , 199 , 199 ," $1,092,531.00 ", 203 ," $599,467.00 ", -   , -   , $-   , -   , $-   ,,35401
00104600,TALLADEGA COLLEGE,AL,35160,Private-Nonprofit, 506 , 506 ," $2,163,253.00 ", 506 ," $1,078,309.00 ", 472 , 485 ," $2,026,748.00 ", 485 ," $1,004,249.00 ", -   , -   , $-   , -   , $-   , 35 , 35 ," $247,295.00 ", 35 ," $127,548.00 ", -   , -   , $-   , -   , $-   ,,35160
00104700,TROY UNIVERSITY,AL,36082,Public," 5,237 "," 5,242 "," $20,093,900.00 "," 5,380 "," $8,226,562.00 "," 5,360 "," 5,510 "," $24,123,746.00 "," 5,653 "," $9,487,884.00 "," 1,738 "," 1,740 "," $27,806,738.00 "," 1,819 "," $9,989,199.00 ", 428 , 433 ," $4,337,500.00 ", 434 ," $2,170,612.00 ", 88 , 88 ," $1,003,388.00 ", 97 ," $362,359.00 ",,36082
00105000,TUSKEGEE UNIVERSITY,AL,36088,Private-Nonprofit," 1,494 "," 1,505 "," $6,268,606.00 "," 1,505 "," $3,230,051.00 "," 1,540 "," 1,907 "," $5,770,274.00 "," 1,907 "," $2,995,056.00 ", 328 , 329 ," $11,133,240.00 ", 329 ," $5,672,798.00 ", 588 , 628 ," $10,293,248.00 ", 628 ," $5,287,502.00 ", 227 , 248 ," $6,296,751.00 ", 248 ," $3,200,975.00 ",,36088
00105100,UNIVERSITY OF ALABAMA,AL,35487,Public," 9,383 "," 9,383 "," $37,752,022.00 "," 9,383 "," $20,410,975.00 "," 10,871 "," 11,447 "," $40,442,095.00 "," 11,448 "," $21,823,162.00 "," 1,740 "," 1,741 "," $27,905,604.00 "," 1,742 "," $14,924,580.00 "," 2,575 "," 2,607 "," $61,645,403.00 "," 2,607 "," $33,075,691.00 ", 239 , 242 ," $3,898,560.00 ", 242 ," $2,112,615.00 ",,35487
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,35294,Public," 4,241 "," 4,311 "," $16,907,634.00 "," 4,312 "," $8,975,296.00 "," 4,492 "," 4,708 "," $18,837,420.00 "," 4,709 "," $10,087,729.00 "," 2,586 "," 2,651 "," $54,920,875.00 "," 2,651 "," $26,059,398.00 ", 537 , 554 ," $6,683,053.00 ", 554 ," $3,440,081.00 ", 544 , 567 ," $10,567,633.00 ", 567 ," $4,417,156.00 ",,35294
00105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE,AL,35899,Public," 1,882 "," 1,922 "," $7,366,806.00 "," 1,922 "," $4,127,120.00 "," 2,042 "," 2,126 "," $9,081,712.00 "," 2,126 "," $5,097,490.00 ", 366 , 385 ," $4,918,784.00 ", 385 ," $2,951,150.00 ", 219 , 232 ," $2,561,109.00 ", 232 ," $1,404,534.00 ", 12 , 14 ," $121,888.00 ", 14 ," $69,216.00 ",,35899
00105700,UNIVERSITY OF SOUTH ALABAMA,AL,36688,Public," 4,972 "," 5,048 "," $19,307,650.00 "," 5,048 "," $10,556,525.00 "," 5,134 "," 5,605 "," $21,292,129.00 "," 5,605 "," $11,778,679.00 "," 2,388 "," 2,450 "," $40,401,470.00 "," 2,450 "," $21,711,726.00 "," 1,581 "," 1,618 "," $17,870,754.00 "," 1,618 "," $9,548,603.00 ", 698 , 703 ," $4,011,431.00 ", 703 ," $1,882,206.00 ",,36688
00106000,JAMES H. FAULKNER STATE COMMUNITY COLLEGE,AL,36507,Public," 1,042 "," 1,042 "," $3,212,672.00 "," 1,042 "," $1,795,237.00 "," 1,102 "," 1,102 "," $3,920,423.00 "," 1,102 "," $2,129,944.00 ", -   , -   , $-   , -   , $-   , 44 , 44 ," $251,926.00 ", 44 ," $130,610.00 ", -   , -   , $-   , -   , $-   ,,36507
00106100,ALASKA PACIFIC UNIVERSITY,AK,99508,Private-Nonprofit, 73 , 73 ," $292,153.00 ", 84 ," $154,077.00 ", 77 , 78 ," $372,286.00 ", 89 ," $200,525.00 ", 63 , 64 ," $1,081,145.00 ", 79 ," $604,089.00 ", 6 , 6 ," $55,755.00 ", 7 ," $30,505.00 ", 2 , 2 ," $20,100.00 ", 2 ," $10,050.00 ",,99508
00106300,UNIVERSITY OF ALASKA FAIRBANKS,AK,99775,Public," 1,222 "," 1,235 "," $4,504,105.00 "," 1,236 "," $2,521,470.00 "," 1,227 "," 1,254 "," $5,912,920.00 "," 1,254 "," $3,306,712.00 ", 148 , 160 ," $2,038,398.00 ", 160 ," $1,124,501.00 ", 62 , 67 ," $852,084.00 ", 67 ," $459,784.00 ", 5 , 5 ," $73,904.00 ", 5 ," $42,496.00 ",,99775
00106500,UNIVERSITY OF ALASKA SOUTHEAST,AK,99801,Public, 315 , 315 ," $1,267,858.00 ", 315 ," $655,667.00 ", 311 , 312 ," $1,664,139.00 ", 314 ," $862,755.00 ", 79 , 81 ," $1,204,630.00 ", 83 ," $584,275.00 ", 14 , 14 ," $149,397.00 ", 14 ," $71,700.00 ", 27 , 27 ," $225,097.00 ", 28 ," $106,753.00 ",,99801
00107100,ARIZONA WESTERN COLLEGE,AZ,85365,Public, 188 , 188 ," $519,649.00 ", 188 ," $174,114.00 ", 120 , 120 ," $311,099.00 ", 120 ," $105,750.00 ", -   , -   , $-   , -   , $-   , 6 , 6 ," $62,404.00 ", 6 ," $31,202.00 ", -   , -   , $-   , -   , $-   ,,85365
00107200,COCHISE COLLEGE,AZ,85607,Public, 211 , 213 ," $626,282.00 ", 213 ," $398,339.00 ", 150 , 152 ," $488,903.00 ", 152 ," $330,679.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   ,,85607
00107400,GRAND CANYON UNIVERSITY,AZ,85017,Proprietary," 11,145 "," 11,156 "," $42,034,303.00 "," 11,273 "," $22,610,213.00 "," 11,924 "," 12,643 "," $52,638,397.00 "," 12,832 "," $27,867,301.00 "," 7,203 "," 7,266 "," $79,646,673.00 "," 7,643 "," $42,430,229.00 "," 1,176 "," 1,177 "," $11,721,418.00 "," 1,185 "," $6,066,251.00 ", 84 , 84 ," $975,970.00 ", 96 ," $469,994.00 ",,85017
00107600,GLENDALE COMMUNITY COLLEGE,AZ,85302,Public," 2,083 "," 2,083 "," $6,387,428.00 "," 2,084 "," $3,738,101.00 ", 341 , 344 ," $1,420,456.00 ", 344 ," $816,155.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   ,,85302
00107700,MESA COMMUNITY COLLEGE,AZ,85202,Public," 2,836 "," 2,836 "," $8,669,509.00 "," 2,843 "," $5,140,607.00 ", 980 , 988 ," $3,629,963.00 ", 990 ," $2,136,186.00 ", -   , -   , $-   , -   , $-   , 12 , 12 ," $132,861.00 ", 12 ," $67,432.00 ", -   , -   , $-   , -   , $-   ,,85202
00107800,PHOENIX COLLEGE,AZ,85013,Public," 1,956 "," 1,956 "," $5,999,209.00 "," 1,958 "," $3,505,173.00 "," 1,614 "," 1,617 "," $6,908,319.00 "," 1,618 "," $4,044,073.00 ", -   , -   , $-   , -   , $-   , 2 , 2 ," $13,750.00 ", 2 ," $6,375.00 ", -   , -   , $-   , -   , $-   ,,85013
00107900,YAVAPAI COLLEGE,AZ,86301,Public, 592 , 592 ," $2,007,234.00 ", 594 ," $1,094,171.00 ", 520 , 520 ," $2,043,455.00 ", 524 ," $1,114,689.00 ", -   , -   , $-   , -   , $-   , 4 , 4 ," $39,065.00 ", 4 ," $19,533.00 ", -   , -   , $-   , -   , $-   ,,86301
00108100,ARIZONA STATE UNIVERSITY,AZ,85287,Public," 26,407 "," 26,913 "," $108,270,098.00 "," 26,913 "," $59,013,493.00 "," 25,464 "," 26,787 "," $119,285,793.00 "," 26,787 "," $65,524,154.00 "," 5,564 "," 5,799 "," $91,607,265.00 "," 5,799 "," $49,993,122.00 "," 5,183 "," 5,326 "," $94,206,755.00 "," 5,326 "," $49,557,439.00 "," 2,794 "," 2,925 "," $40,677,478.00 "," 2,925 "," $22,159,852.00 ",,85287
00108200,NORTHERN ARIZONA UNIVERSITY,AZ,86011,Public," 9,167 "," 9,167 "," $36,742,698.00 "," 9,261 "," $19,936,713.00 "," 9,014 "," 9,687 "," $36,663,711.00 "," 9,723 "," $20,528,606.00 "," 1,561 "," 1,562 "," $23,298,946.00 "," 1,590 "," $12,984,607.00 "," 2,562 "," 2,577 "," $37,285,337.00 "," 2,594 "," $19,862,465.00 ", 324 , 327 ," $2,725,439.00 ", 329 ," $1,550,027.00 ",,86011
00108300,UNIVERSITY OF ARIZONA (THE),AZ,85721,Public," 9,306 "," 9,521 "," $37,584,932.00 "," 9,521 "," $20,176,505.00 "," 9,051 "," 9,636 "," $35,205,566.00 "," 9,636 "," $18,905,777.00 "," 2,889 "," 3,062 "," $60,559,300.00 "," 3,062 "," $32,256,127.00 "," 3,119 "," 3,221 "," $63,255,151.00 "," 3,221 "," $33,348,524.00 ", 565 , 622 ," $7,747,747.00 ", 622 ," $4,266,396.00 ",,85721
00108500,UNIVERSITY OF ARKANSAS AT MONTICELLO,AR,71656,Public," 1,161 "," 1,165 "," $3,909,845.00 "," 1,165 "," $2,166,084.00 "," 1,042 "," 1,075 "," $3,827,822.00 "," 1,075 "," $2,135,115.00 ", 108 , 109 ," $1,086,445.00 ", 109 ," $583,647.00 ", 30 , 30 ," $190,557.00 ", 30 ," $108,613.00 ", -   , -   , $-   , -   , $-   ,,71656
00108600,UNIVERSITY OF ARKANSAS AT PINE BLUFF,AR,71601,Public," 1,057 "," 1,072 "," $3,947,572.00 "," 1,072 "," $2,194,423.00 "," 1,011 "," 1,193 "," $3,036,776.00 "," 1,193 "," $1,731,906.00 ", 39 , 43 ," $285,301.00 ", 43 ," $178,607.00 ", 115 , 117 ," $810,630.00 ", 117 ," $425,424.00 ", -   , -   , $-   , -   , $-   ,,71601
00108700,ARKANSAS BAPTIST COLLEGE,AR,72202,Private-Nonprofit, 754 , 754 ," $2,835,008.00 ", 850 ," $1,576,892.00 ", 773 , 788 ," $3,118,741.00 ", 920 ," $1,574,811.00 ", -   , -   , $-   , -   , $-   , 59 , 59 ," $505,201.00 ", 71 ," $288,324.00 ", -   , -   , $-   , -   , $-   ,,72202
00108800,LYON COLLEGE,AR,72501,Private-Nonprofit, 312 , 312 ," $1,253,771.00 ", 312 ," $663,626.00 ", 364 , 364 ," $1,286,697.00 ", 364 ," $676,345.00 ", -   , -   , $-   , -   , $-   , 75 , 75 ," $719,481.00 ", 75 ," $388,635.00 ", -   , -   , $-   , -   , $-   ,,72501
00108900,ARKANSAS TECH UNIVERSITY,AR,72801,Public," 3,476 "," 3,517 "," $12,338,438.00 "," 3,517 "," $6,697,111.00 "," 3,323 "," 3,528 "," $13,808,723.00 "," 3,528 "," $7,481,033.00 ", 352 , 366 ," $4,466,119.00 ", 366 ," $2,424,308.00 ", 210 , 223 ," $1,147,382.00 ", 223 ," $618,065.00 ", 4 , 4 ," $21,551.00 ", 4 ," $11,256.00 ",,72801
00109000,ARKANSAS STATE UNIVERSITY,AR,72401,Public," 3,637 "," 3,637 "," $14,467,065.00 "," 3,637 "," $7,983,568.00 "," 3,660 "," 3,698 "," $16,095,082.00 "," 3,698 "," $8,878,573.00 "," 2,014 "," 2,016 "," $23,111,346.00 "," 2,016 "," $12,878,515.00 ", 306 , 309 ," $2,761,517.00 ", 309 ," $1,495,562.00 ", 78 , 78 ," $1,191,841.00 ", 78 ," $620,491.00 ",,72401
00109100,ARKANSAS STATE UNIVERSITY - BEEBE,AR,72012,Public, 295 , 295 ," $824,078.00 ", 295 ," $256,000.00 ", 199 , 199 ," $708,863.00 ", 199 ," $210,689.00 ", -   , -   , $-   , -   , $-   , 1 , 1 ," $4,627.00 ", 1 ," $1,157.00 ", -   , -   , $-   , -   , $-   ,,72012
00109200,UNIVERSITY OF CENTRAL ARKANSAS,AR,72035,Public," 3,542 "," 3,624 "," $13,007,815.00 "," 3,624 "," $7,277,599.00 "," 3,598 "," 4,020 "," $14,242,633.00 "," 4,020 "," $7,992,191.00 ", 816 , 859 ," $9,773,852.00 ", 859 ," $5,568,045.00 ", 696 , 709 ," $5,733,719.00 ", 709 ," $3,181,177.00 ", 35 , 37 ," $104,619.00 ", 37 ," $55,136.00 ",,72035
00109300,CENTRAL BAPTIST COLLEGE,AR,72034,Private-Nonprofit, 370 , 370 ," $1,390,445.00 ", 388 ," $740,028.00 ", 381 , 381 ," $1,905,700.00 ", 398 ," $996,511.00 ", -   , -   , $-   , -   , $-   , 88 , 88 ," $758,231.00 ", 88 ," $410,534.00 ", -   , -   , $-   , -   , $-   ,,72034
00109400,UNIVERSITY OF THE OZARKS,AR,72830,Private-Nonprofit, 31 , 32 ," $133,937.00 ", 32 ," $66,969.00 ", 22 , 22 ," $105,713.00 ", 22 ," $52,857.00 ", -   , -   , $-   , -   , $-   , 1 , 1 ," $40,000.00 ", 1 ," $15,000.00 ", -   , -   , $-   , -   , $-   ,,72830
00109500,CROWLEY'S RIDGE COLLEGE,AR,72450,Private-Nonprofit, 40 , 40 ," $150,193.00 ", 40 ," $84,754.00 ", 38 , 38 ," $150,500.00 ", 38 ," $83,733.00 ", -   , -   , $-   , -   , $-   , 7 , 7 ," $41,940.00 ", 7 ," $22,499.00 ", -   , -   , $-   , -   , $-   ,,72450
00109700,HARDING UNIVERSITY,AR,72149,Private-Nonprofit," 1,516 "," 1,516 "," $6,168,971.00 "," 1,517 "," $3,425,140.00 "," 1,820 "," 1,831 "," $7,056,639.00 "," 1,831 "," $4,014,064.00 ", 602 , 602 ," $10,840,041.00 ", 603 ," $6,910,796.00 ", 414 , 415 ," $5,532,007.00 ", 415 ," $3,132,073.00 ", 239 , 239 ," $3,437,962.00 ", 239 ," $2,037,055.00 ",,72149
00109800,HENDERSON STATE UNIVERSITY,AR,71999,Public," 1,239 "," 1,251 "," $4,720,697.00 "," 1,251 "," $2,562,089.00 "," 1,165 "," 1,208 "," $4,387,289.00 "," 1,208 "," $2,387,654.00 ", 240 , 240 ," $3,383,222.00 ", 240 ," $1,832,208.00 ", 108 , 113 ," $693,950.00 ", 113 ," $363,542.00 ", 2 , 2 ," $36,864.00 ", 2 ," $18,432.00 ",,71999
00109900,HENDRIX COLLEGE,AR,72032,Private-Nonprofit, 383 , 383 ," $1,613,132.00 ", 383 ," $827,739.00 ", 527 , 554 ," $2,088,666.00 ", 554 ," $1,073,233.00 ", 5 , 5 ," $77,784.00 ", 5 ," $47,034.00 ", 108 , 108 ," $1,835,902.00 ", 108 ," $947,071.00 ", 1 , 1 ," $11,770.00 ", 1 ," $5,885.00 ",,72032
00110000,JOHN BROWN UNIVERSITY,AR,72761,Private-Nonprofit, 624 , 624 ," $2,592,632.00 ", 624 ," $1,397,927.00 ", 665 , 665 ," $2,653,232.00 ", 666 ," $1,405,642.00 ", 374 , 374 ," $5,479,600.00 ", 412 ," $2,429,155.00 ", 166 , 167 ," $1,673,645.00 ", 167 ," $886,659.00 ", 2 , 2 ," $16,248.00 ", 2 ," $8,500.00 ",,72761
00110100,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,AR,72204,Public," 3,274 "," 3,320 "," $11,890,881.00 "," 3,323 "," $6,731,441.00 "," 3,247 "," 3,362 "," $15,624,341.00 "," 3,371 "," $8,993,642.00 ", 940 , 960 ," $14,312,427.00 ", 960 ," $7,756,230.00 ", 159 , 161 ," $1,370,517.00 ", 162 ," $743,951.00 ", 240 , 240 ," $1,292,765.00 ", 240 ," $702,873.00 ",,72204
00110200,OUACHITA BAPTIST UNIVERSITY,AR,71998,Private-Nonprofit, 430 , 430 ," $1,717,418.00 ", 430 ," $916,883.00 ", 567 , 595 ," $2,137,990.00 ", 595 ," $1,124,599.00 ", -   , -   , $-   , -   , $-   , 131 , 131 ," $1,552,635.00 ", 131 ," $814,005.00 ", -   , -   , $-   , -   , $-   ,,71998
00110300,PHILANDER SMITH COLLEGE,AR,72202,Private-Nonprofit, 379 , 380 ," $1,459,541.00 ", 381 ," $776,384.00 ", 349 , 354 ," $1,534,652.00 ", 355 ," $824,554.00 ", -   , -   , $-   , -   , $-   , 77 , 77 ," $876,289.00 ", 77 ," $452,445.00 ", -   , -   , $-   , -   , $-   ,,72202
00110500,SHORTER COLLEGE,AR,72114,Private-Nonprofit, 136 , 136 ," $444,125.00 ", 136 ," $248,563.00 ", 137 , 137 ," $680,818.00 ", 137 ," $378,800.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   ,,72114
00110600,WILLIAMS BAPTIST COLLEGE,AR,72476,Private-Nonprofit, 214 , 214 ," $865,496.00 ", 214 ," $463,391.00 ", 175 , 224 ," $602,386.00 ", 224 ," $318,729.00 ", -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   , -   , -   , $-   , -   , $-   ,,72476
