,,,,, DL SUBSIDIZED- UNDERGRADUATE ,,,,, DL SUBSIDIZED- GRADUATE ,,,,, DL UNSUBSIDIZED- UNDERGRADUATE ,,,,, DL UNSUBSIDIZED- GRADUATE ,,,,, DL PARENT PLUS ,,,,,DL GRAD PLUS,,,,
00100300,FAULKNER UNIVERSITY,AL,36109,PRIVATE," 1,020 "," 1,025 "," $3,238,974.00 ","1,031"," $1,785,181.00 ", 380 , 381 ," $3,073,142.00 ",382," $1,783,935.00 ", 856 , 875 ," $2,826,010.00 ",875," $1,413,096.00 ", 355 , 358 ," $3,767,898.00 ",359," $1,989,974.00 ", 86 , 86 ," $768,084.00 ",86," $404,300.00 ", 234 , 240 ," $6,194,091.00 ",240," $3,135,825.00 "
00100400,UNIVERSITY OF MONTEVALLO,AL,35115,PUBLIC," 1,069 "," 1,092 "," $4,173,242.00 ","1,092"," $2,276,801.00 ", 235 , 239 ," $1,586,638.00 ",239," $896,194.00 "," 1,170 "," 1,248 "," $4,758,770.00 ","1,248"," $2,599,431.00 ", 225 , 231 ," $1,768,583.00 ",231," $960,303.00 ", 91 , 95 ," $563,929.00 ",95," $313,733.00 ", -   , -   , $-   ,0, $-   
00100500,ALABAMA STATE UNIVERSITY,AL,36104,PUBLIC," 3,250 "," 3,295 "," $11,888,407.00 ","3,295"," $6,489,711.00 ", 531 , 535 ," $3,699,898.00 ",535," $2,053,253.00 "," 3,303 "," 3,680 "," $12,385,594.00 ","3,680"," $6,904,385.00 ", 548 , 586 ," $4,178,724.00 ",586," $2,531,740.00 ", 445 , 449 ," $3,593,646.00 ",449," $2,029,639.00 ", 13 , 15 ," $92,346.00 ",15," $53,440.00 "
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,35010,PUBLIC, 563 , 567 ," $1,950,814.00 ",732," $1,256,664.00 ", -   , -   , $-   ,0, $-   , 489 , 494 ," $1,713,909.00 ",596," $941,107.00 ", -   , -   , $-   ,0, $-   , 2 , 2 ," $7,598.00 ",3," $4,907.00 ", -   , -   , $-   ,0, $-   
00100800,ATHENS STATE UNIVERSITY,AL,35611,PUBLIC," 1,225 "," 1,235 "," $4,728,312.00 ","1,235"," $2,069,438.00 ", 4 , 4 ," $15,184.00 ",4," $8,767.00 "," 1,143 "," 1,202 "," $5,780,776.00 ","1,202"," $2,612,264.00 ", 10 , 10 ," $59,886.00 ",10," $37,895.00 ", 17 , 17 ," $136,351.00 ",17," $50,889.00 ", -   , -   , $-   ,0, $-   
00100900,AUBURN UNIVERSITY,AL,36849,PUBLIC," 5,254 "," 5,267 "," $21,509,890.00 ","5,267"," $11,644,477.00 "," 1,640 "," 1,644 "," $12,500,124.00 ","1,644"," $6,590,885.00 "," 5,889 "," 6,042 "," $22,449,401.00 ","6,042"," $12,093,456.00 "," 1,342 "," 1,348 "," $20,103,530.00 ","1,348"," $10,487,344.00 "," 1,136 "," 1,138 "," $18,565,055.00 ","1,138"," $9,765,012.00 ", 99 , 101 ," $1,153,677.00 ",101," $613,720.00 "
00101200,BIRMINGHAM SOUTHERN COLLEGE,AL,35254,PRIVATE, 463 , 463 ," $1,942,830.00 ",463," $1,021,061.00 ", -   , -   , $-   ,0, $-   , 534 , 534 ," $1,927,719.00 ",534," $1,012,815.00 ", -   , -   , $-   ,0, $-   , 159 , 160 ," $2,226,793.00 ",160," $1,187,348.00 ", -   , -   , $-   ,0, $-   
00101300,CALHOUN COMMUNITY COLLEGE,AL,35609,PUBLIC," 1,317 "," 1,317 "," $4,294,413.00 ","1,318"," $2,422,152.00 ", -   , -   , $-   ,0, $-   , 967 , 967 ," $2,394,565.00 ",967," $1,362,214.00 ", -   , -   , $-   ,0, $-   , 16 , 16 ," $66,154.00 ",17," $36,283.00 ", -   , -   , $-   ,0, $-   
00101500,ENTERPRISE STATE COMMUNITY COLLEGE,AL,36331,PUBLIC, 248 , 248 ," $783,634.00 ",249," $446,644.00 ", -   , -   , $-   ,0, $-   , 125 , 125 ," $336,005.00 ",125," $172,318.00 ", -   , -   , $-   ,0, $-   , 2 , 2 ," $6,716.00 ",2," $3,358.00 ", -   , -   , $-   ,0, $-   
00101600,UNIVERSITY OF NORTH ALABAMA,AL,35632,PUBLIC," 1,994 "," 2,014 "," $7,408,856.00 ","2,014"," $4,016,478.00 ", 274 , 278 ," $1,768,083.00 ",278," $997,484.00 "," 2,003 "," 2,073 "," $7,588,517.00 ","2,073"," $4,152,301.00 ", 235 , 236 ," $1,757,947.00 ",236," $984,724.00 ", 132 , 136 ," $811,619.00 ",138," $440,494.00 ", 1 , 1 ," $22,554.00 ",1," $11,277.00 "
00101900,HUNTINGDON COLLEGE,AL,36106,PRIVATE, 481 , 481 ," $1,922,962.00 ",481," $992,254.00 ", -   , -   , $-   ,0, $-   , 537 , 537 ," $2,320,240.00 ",537," $1,154,410.00 ", -   , -   , $-   ,0, $-   , 127 , 127 ," $1,119,320.00 ",131," $578,285.00 ", -   , -   , $-   ,0, $-   
00102000,JACKSONVILLE STATE UNIVERSITY,AL,36265,PUBLIC," 3,769 "," 3,791 "," $14,955,398.00 ","3,791"," $8,173,256.00 ", 625 , 631 ," $4,218,610.00 ",631," $2,503,305.00 "," 3,690 "," 3,991 "," $15,658,220.00 ","3,991"," $8,647,625.00 ", 554 , 557 ," $5,420,936.00 ",557," $3,158,384.00 ", 305 , 320 ," $1,722,218.00 ",320," $928,272.00 ", 2 , 2 ," $40,000.00 ",2," $20,000.00 "
00102200,JEFFERSON STATE COMMUNITY COLLEGE,AL,35215,PUBLIC," 1,375 "," 1,376 "," $4,208,163.00 ","1,380"," $2,529,978.00 ", 9 , 9 ," $27,888.00 ",9," $18,888.00 ", 334 , 334 ," $837,284.00 ",334," $504,324.00 ", 2 , 2 ," $7,000.00 ",2," $3,500.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00102300,JUDSON COLLEGE,AL,36756,PRIVATE, 144 , 144 ," $543,235.00 ",144," $294,002.00 ", -   , -   , $-   ,0, $-   , 148 , 196 ," $485,304.00 ",196," $258,129.00 ", -   , -   , $-   ,0, $-   , 45 , 45 ," $328,698.00 ",45," $167,762.00 ", -   , -   , $-   ,0, $-   
00102400,UNIVERSITY OF WEST ALABAMA,AL,35470,PUBLIC," 1,115 "," 1,115 "," $4,321,378.00 ","1,115"," $2,113,740.00 "," 1,970 "," 1,970 "," $13,551,281.00 ","1,971"," $3,962,351.00 "," 1,260 "," 1,260 "," $5,467,187.00 ","1,260"," $2,397,668.00 "," 1,964 "," 1,964 "," $19,917,332.00 ","1,964"," $5,352,554.00 ", 95 , 95 ," $609,832.00 ",95," $301,591.00 ", -   , -   , $-   ,0, $-   
00102600,MARION MILITARY INSTITUTE,AL,36756,PUBLIC, 108 , 108 ," $320,887.00 ",109," $164,502.00 ", -   , -   , $-   ,0, $-   , 132 , 132 ," $524,384.00 ",132," $255,207.00 ", -   , -   , $-   ,0, $-   , 9 , 9 ," $58,112.00 ",10," $25,722.00 ", -   , -   , $-   ,0, $-   
00102800,MILES COLLEGE,AL,35064,PRIVATE," 1,418 "," 1,423 "," $5,701,190.00 ","1,431"," $2,899,752.00 ", 2 , 2 ," $10,644.00 ",2," $5,322.00 "," 1,350 "," 1,582 "," $4,929,981.00 ","1,587"," $2,483,590.00 ", 2 , 2 ," $3,304.00 ",2," $1,652.00 ", 266 , 267 ," $1,602,386.00 ",270," $852,434.00 ", -   , -   , $-   ,0, $-   
00102900,UNIVERSITY OF MOBILE,AL,36663,PRIVATE, 888 , 889 ," $3,671,219.00 ",910," $1,987,087.00 ", 130 , 130 ," $953,400.00 ",136," $530,500.00 ", 981 ," 1,037 "," $4,699,287.00 ","1,061"," $2,565,585.00 ", 134 , 136 ," $1,198,561.00 ",142," $670,554.00 ", 85 , 86 ," $690,664.00 ",88," $368,943.00 ", 1 , 1 ," $10,000.00 ",1," $5,000.00 "
00103100,NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,35986,PUBLIC, 287 , 288 ," $761,741.00 ",288," $376,899.00 ", -   , -   , $-   ,0, $-   , 87 , 87 ," $204,227.00 ",87," $101,455.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00103600,SAMFORD UNIVERSITY,AL,35229,PRIVATE, 804 , 827 ," $3,250,299.00 ",827," $1,719,586.00 ", 924 , 930 ," $7,462,014.00 ",930," $3,816,556.00 ", 898 , 971 ," $3,422,481.00 ",971," $1,807,963.00 ", 893 , 914 ," $13,912,346.00 ",914," $7,087,799.00 ", 474 , 487 ," $7,249,688.00 ",487," $3,815,649.00 ", 621 , 649 ," $11,509,567.00 ",649," $5,822,092.00 "
00104000,SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,36276,PUBLIC, 629 , 630 ," $1,941,468.00 ",768," $1,104,982.00 ", -   , -   , $-   ,0, $-   , 440 , 443 ," $1,308,517.00 ",526," $713,523.00 ", -   , -   , $-   ,0, $-   , 15 , 15 ," $67,071.00 ",17," $34,747.00 ", -   , -   , $-   ,0, $-   
00104100,SPRING HILL COLLEGE,AL,36608,PRIVATE, 709 , 711 ," $2,878,503.00 ",711," $1,484,516.00 ", 62 , 62 ," $356,218.00 ",62," $170,643.00 ", 790 , 845 ," $3,004,818.00 ",845," $1,541,185.00 ", 65 , 65 ," $522,733.00 ",65," $242,441.00 ", 145 , 148 ," $1,516,384.00 ",148," $795,291.00 ", -   , -   , $-   ,0, $-   
00104400,STILLMAN COLLEGE,AL,35401,PRIVATE, 477 , 477 ," $1,983,253.00 ",478," $1,003,997.00 ", -   , -   , $-   ,0, $-   , 456 , 457 ," $1,888,990.00 ",457," $992,831.00 ", -   , -   , $-   ,0, $-   , 192 , 192 ," $1,601,103.00 ",192," $831,214.00 ", -   , -   , $-   ,0, $-   
00104600,TALLADEGA COLLEGE,AL,35160,PRIVATE, 239 , 240 ," $1,026,431.00 ",240," $539,717.00 ", 19 , 19 ," $86,667.00 ",19," $44,418.00 ", 228 , 229 ," $923,520.00 ",229," $444,673.00 ", 17 , 17 ," $100,667.00 ",17," $51,668.00 ", 29 , 29 ," $233,160.00 ",29," $102,747.00 ", -   , -   , $-   ,0, $-   
00104700,TROY UNIVERSITY,AL,36082,PUBLIC," 9,132 "," 9,132 "," $38,279,148.00 ","9,132"," $16,190,050.00 "," 2,547 "," 2,547 "," $20,165,951.00 ","2,547"," $7,562,357.00 "," 8,955 "," 8,955 "," $50,517,380.00 ","8,955"," $21,146,693.00 "," 2,370 "," 2,370 "," $26,351,273.00 ","2,370"," $9,677,509.00 ", 219 , 219 ," $1,894,185.00 ",219," $927,657.00 ", 21 , 21 ," $201,798.00 ",21," $61,305.00 "
00105000,TUSKEGEE UNIVERSITY,AL,36088,PRIVATE," 1,095 "," 1,115 "," $4,587,670.00 ","1,115"," $2,329,934.00 ", 297 , 297 ," $2,492,141.00 ",297," $1,256,475.00 "," 1,089 "," 1,457 "," $4,441,774.00 ","1,457"," $2,255,156.00 ", 286 , 307 ," $7,495,369.00 ",307," $3,763,924.00 ", 330 , 384 ," $4,003,315.00 ",384," $2,026,268.00 ", 111 , 124 ," $1,323,568.00 ",124," $653,661.00 "
00105100,UNIVERSITY OF ALABAMA,AL,35487,PUBLIC," 7,637 "," 7,780 "," $29,589,508.00 ","7,780"," $16,550,097.00 "," 1,938 "," 1,999 "," $14,394,845.00 ","1,999"," $7,730,852.00 "," 9,279 "," 10,080 "," $34,265,369.00 ","10,080"," $19,141,069.00 "," 1,738 "," 1,785 "," $18,646,926.00 ","1,785"," $10,079,227.00 "," 1,778 "," 1,804 "," $29,604,276.00 ","1,804"," $15,941,586.00 ", 221 , 225 ," $2,841,733.00 ",225," $1,544,276.00 "
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,35294,PUBLIC," 4,310 "," 4,364 "," $18,050,482.00 ","4,364"," $9,254,437.00 "," 2,583 "," 2,598 "," $20,140,808.00 ","2,598"," $9,809,052.00 "," 4,650 "," 4,907 "," $22,519,450.00 ","4,907"," $11,545,444.00 "," 2,360 "," 2,405 "," $38,442,807.00 ","2,405"," $17,998,712.00 ", 383 , 391 ," $3,360,858.00 ",391," $1,709,594.00 ", 310 , 333 ," $5,272,523.00 ",333," $2,131,430.00 "
00105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE,AL,35899,PUBLIC," 2,215 "," 2,294 "," $8,840,758.00 ","2,294"," $4,960,160.00 ", 230 , 241 ," $1,541,508.00 ",241," $920,641.00 "," 2,217 "," 2,351 "," $10,119,796.00 ","2,352"," $5,723,020.00 ", 198 , 200 ," $1,829,721.00 ",200," $1,076,992.00 ", 173 , 182 ," $1,413,415.00 ",182," $781,872.00 ", 5 , 5 ," $33,515.00 ",5," $22,603.00 "
00105700,UNIVERSITY OF SOUTH ALABAMA,AL,36688,PUBLIC," 4,568 "," 4,630 "," $18,309,689.00 ","4,630"," $9,633,292.00 "," 1,155 "," 1,166 "," $8,075,181.00 ","1,166"," $4,185,554.00 "," 5,139 "," 5,439 "," $24,073,091.00 ","5,439"," $12,693,362.00 "," 1,284 "," 1,310 "," $15,391,727.00 ","1,310"," $7,781,646.00 ", 529 , 552 ," $4,118,834.00 ",552," $2,174,714.00 ", 72 , 77 ," $659,652.00 ",77," $286,243.00 "
00106000,JAMES H. FAULKNER STATE COMMUNITY COLLEGE,AL,36507,PUBLIC, 282 , 284 ," $784,049.00 ",284," $404,308.00 ", 4 , 4 ," $7,241.00 ",4," $4,619.00 ", 273 , 273 ," $940,679.00 ",273," $488,426.00 ", 2 , 2 ," $3,751.00 ",2," $2,124.00 ", 4 , 4 ," $15,910.00 ",4," $8,830.00 ", -   , -   , $-   ,0, $-   
00569700,NORTHWEST - SHOALS COMMUNITY COLLEGE,AL,35662,PUBLIC, 726 , 727 ," $2,045,595.00 ",817," $1,247,211.00 ", -   , -   , $-   ,0, $-   , 537 , 538 ," $1,374,793.00 ",614," $816,830.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00787100,GEORGE C. WALLACE STATE COMMUNITY COLLEGE,AL,35077,PUBLIC," 1,994 "," 1,999 "," $6,956,470.00 ","2,026"," $3,576,938.00 ", -   , -   , $-   ,0, $-   ," 1,422 "," 1,435 "," $4,930,773.00 ","1,453"," $2,494,040.00 ", -   , -   , $-   ,0, $-   , 11 , 11 ," $57,156.00 ",14," $38,171.00 ", -   , -   , $-   ,0, $-   
00831000,AUBURN UNIVERSITY MONTGOMERY,AL,36117,PUBLIC," 2,078 "," 2,095 "," $7,481,498.00 ","2,095"," $4,135,773.00 ", 489 , 495 ," $3,323,584.00 ",495," $1,870,457.00 "," 2,018 "," 2,121 "," $8,330,951.00 ","2,121"," $4,653,201.00 ", 455 , 463 ," $4,121,927.00 ",463," $2,327,397.00 ", 105 , 113 ," $643,682.00 ",113," $330,654.00 ", 7 , 8 ," $83,578.00 ",8," $50,421.00 "
01019300,HERZING UNIVERSITY,AL,35209,PROPRIETARY, 65 , 65 ," $215,593.00 ",65," $113,765.00 ", -   , -   , $-   ,0, $-   , 67 , 69 ," $276,646.00 ",69," $142,649.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
01055400,CONCORDIA COLLEGE ALABAMA,AL,36701,PRIVATE, 381 , 381 ," $1,386,898.00 ",381," $777,000.00 ", -   , -   , $-   ,0, $-   , 232 , 232 ," $428,606.00 ",232," $240,095.00 ", -   , -   , $-   ,0, $-   , 5 , 5 ," $24,100.00 ",5," $19,490.00 ", -   , -   , $-   ,0, $-   
02199700,HERITAGE CHRISTIAN UNIVERSITY,AL,35630,PRIVATE, 30 , 30 ," $68,906.00 ",30," $34,453.00 ", -   , -   , $-   ,0, $-   , 30 , 30 ," $83,000.00 ",30," $41,500.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
02270400,SOUTHEASTERN BIBLE COLLEGE,AL,35244,PRIVATE, 120 , 120 ," $488,044.00 ",120," $267,576.00 ", -   , -   , $-   ,0, $-   , 129 , 129 ," $700,206.00 ",129," $384,127.00 ", -   , -   , $-   ,0, $-   , 6 , 6 ," $39,000.00 ",6," $21,300.00 ", -   , -   , $-   ,0, $-   
02285000,PAUL MITCHELL THE SCHOOL HUNTSVILLE,AL,35758,PROPRIETARY, 30 , 30 ," $88,344.00 ",30," $49,615.00 ", -   , -   , $-   ,0, $-   , 27 , 27 ," $108,617.00 ",27," $61,058.00 ", -   , -   , $-   ,0, $-   , 4 , 4 ," $32,066.00 ",4," $15,650.00 ", -   , -   , $-   ,0, $-   
02296000,PRINCE INSTITUTE - SOUTHEAST,AL,36117,PROPRIETARY, 50 , 52 ," $168,065.00 ",93," $107,966.00 ", -   , -   , $-   ,0, $-   , 49 , 52 ," $182,268.00 ",88," $118,453.00 ", -   , -   , $-   ,0, $-   , 4 , 5 ," $25,800.00 ",8," $18,200.00 ", -   , -   , $-   ,0, $-   
02341000,FORTIS COLLEGE,AL,36609,PROPRIETARY, 420 , 420 ," $1,186,653.00 ",555," $588,972.00 ", -   , -   , $-   ,0, $-   , 256 , 256 ," $441,678.00 ",327," $190,120.00 ", -   , -   , $-   ,0, $-   , 16 , 16 ," $57,663.00 ",21," $26,549.00 ", -   , -   , $-   ,0, $-   
02503400,AMRIDGE UNIVERSITY,AL,36117,PRIVATE, 247 , 247 ," $887,168.00 ",247," $425,686.00 ", 279 , 279 ," $1,944,508.00 ",279," $856,270.00 ", 251 , 251 ," $1,341,908.00 ",251," $651,960.00 ", 279 , 279 ," $2,757,345.00 ",279," $1,223,644.00 ", 2 , 2 ," $7,000.00 ",2," $7,000.00 ", 20 , 20 ," $249,068.00 ",20," $102,684.00 "
02605500,REMINGTON COLLEGE - MOBILE CAMPUS,AL,36609,PRIVATE, 836 , 843 ," $2,655,744.00 ",861," $1,280,140.00 ", -   , -   , $-   ,0, $-   , 802 ," 1,096 "," $3,795,182.00 ","1,121"," $1,836,518.00 ", -   , -   , $-   ,0, $-   , 57 , 58 ," $322,487.00 ",58," $143,553.00 ", -   , -   , $-   ,0, $-   
03010600,VIRGINIA COLLEGE,AL,35209,PROPRIETARY," 1,675 "," 1,676 "," $5,821,709.00 ","1,786"," $2,470,009.00 ", 16 , 16 ," $101,323.00 ",17," $42,089.00 "," 1,705 "," 1,727 "," $6,904,254.00 ","1,840"," $2,948,632.00 ", 8 , 8 ," $48,792.00 ",9," $18,808.00 ", 61 , 61 ," $645,469.00 ",67," $336,028.00 ", -   , -   , $-   ,0, $-   
03361400,FORTIS COLLEGE,AL,36535,PROPRIETARY, 68 , 68 ," $149,303.00 ",110," $93,942.00 ", -   , -   , $-   ,0, $-   , 26 , 26 ," $78,200.00 ",42," $25,667.00 ", -   , -   , $-   ,0, $-   , 1 , 1 ," $3,045.00 ",3," $3,045.00 ", -   , -   , $-   ,0, $-   
03783300,BLUE CLIFF CAREER COLLEGE,AL,36606,PROPRIETARY, 13 , 13 ," $39,528.00 ",14," $23,764.00 ", -   , -   , $-   ,0, $-   , 4 , 4 ," $21,333.00 ",4," $10,667.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
03894300,HUNTSVILLE BIBLE COLLEGE,AL,35811,PRIVATE, 19 , 21 ," $69,439.00 ",21," $36,696.00 ", -   , -   , $-   ,0, $-   , 18 , 20 ," $106,471.00 ",20," $60,020.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
04066300,CARDIAC AND VASCULAR INSTITUTE OF ULTRASOUND,AL,36604,PROPRIETARY, 18 , 18 ," $64,677.00 ",18," $36,242.00 ", -   , -   , $-   ,0, $-   , 19 , 20 ," $104,693.00 ",20," $57,549.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
04067300,SELMA UNIVERSITY,AL,36701,PRIVATE, 333 , 335 ," $644,104.00 ",335," $615,250.00 ", 4 , 4 ," $12,500.00 ",4," $9,750.00 ", 81 , 82 ," $89,381.00 ",82," $83,510.00 ", 1 , 1 ," $1,000.00 ",1," $1,000.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
04121500,COLUMBIA SOUTHERN UNIVERSITY,AL,36561,PROPRIETARY, 962 , 974 ," $3,616,740.00 ","1,259"," $1,322,326.00 ", 293 , 298 ," $1,720,963.00 ",387," $631,257.00 "," 1,101 "," 1,117 "," $5,286,801.00 ","1,451"," $1,898,999.00 ", 359 , 360 ," $1,947,028.00 ",465," $671,887.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
04149200,XCELL ACADEMY A PAUL MITCHELL SCHOOL,AL,35216,PROPRIETARY, 40 , 40 ," $129,036.00 ",42," $69,100.00 ", -   , -   , $-   ,0, $-   , 40 , 40 ," $147,602.00 ",42," $79,870.00 ", -   , -   , $-   ,0, $-   , 5 , 5 ," $42,700.00 ",5," $21,350.00 ", -   , -   , $-   ,0, $-   
00108500,UNIVERSITY OF ARKANSAS AT MONTICELLO,AR,71656,PUBLIC," 1,273 "," 1,283 "," $4,346,622.00 ","1,283"," $2,437,700.00 ", 47 , 47 ," $301,076.00 ",47," $161,003.00 "," 1,096 "," 1,106 "," $3,996,913.00 ","1,106"," $2,282,592.00 ", 39 , 40 ," $159,899.00 ",40," $86,631.00 ", 13 , 13 ," $65,823.00 ",13," $38,385.00 ", -   , -   , $-   ,0, $-   
00108600,UNIVERSITY OF ARKANSAS AT PINE BLUFF,AR,71601,PUBLIC," 1,394 "," 1,396 "," $4,799,154.00 ","1,396"," $2,692,717.00 ", 54 , 54 ," $332,581.00 ",54," $193,519.00 "," 1,028 "," 1,277 "," $2,945,257.00 ","1,277"," $1,661,723.00 ", 31 , 32 ," $123,057.00 ",32," $67,621.00 ", 164 , 164 ," $1,100,039.00 ",164," $601,319.00 ", -   , -   , $-   ,0, $-   
00108700,ARKANSAS BAPTIST COLLEGE,AR,72202,PRIVATE, 373 , 376 ," $1,361,426.00 ",376," $748,046.00 ", -   , -   , $-   ,0, $-   , 374 , 380 ," $1,636,313.00 ",380," $897,609.00 ", -   , -   , $-   ,0, $-   , 9 , 9 ," $22,706.00 ",9," $13,550.00 ", -   , -   , $-   ,0, $-   
00108800,LYON COLLEGE,AR,72501,PRIVATE, 241 , 243 ," $1,040,875.00 ",243," $528,356.00 ", -   , -   , $-   ,0, $-   , 245 , 247 ," $917,553.00 ",247," $461,644.00 ", -   , -   , $-   ,0, $-   , 53 , 54 ," $429,096.00 ",54," $218,445.00 ", -   , -   , $-   ,0, $-   
00108900,ARKANSAS TECH UNIVERSITY,AR,72801,PUBLIC," 3,150 "," 3,335 "," $10,765,237.00 ","3,471"," $5,894,598.00 ", 251 , 267 ," $1,528,102.00 ",276," $832,162.00 "," 2,650 "," 2,868 "," $10,469,301.00 ","2,972"," $5,699,128.00 ", 185 , 199 ," $1,440,600.00 ",206," $775,041.00 ", 112 , 114 ," $677,720.00 ",114," $359,118.00 ", -   , -   , $-   ,0, $-   
